Number,Gender,GivenName,Surname,EmailAddress,NationalID,Birthday,Occupation,TelephoneNumber
78,female,Halina,Borkowska,HalinaBorkowska@fleckens.hu,97061899946,6/18/1997,"Training and development coordinator","69 895 04 02"
79,female,Jolanta,Adamska,JolantaAdamska@fleckens.hu,86052309489,5/23/1986,"Process metallurgical engineer","51 718 38 05"
80,female,Basia,Maciejewska,BasiaMaciejewska@gustr.com,96101561825,10/15/1996,"Local account executive","66 772 51 47"
81,female,Wiga,Woźniak,WigaWozniak@gustr.com,63080214288,8/2/1963,"Forest and conservation technician","72 596 35 51"
82,female,Martyna,Zielinska,MartynaZielinska@superrito.com,65061195683,6/11/1965,"Armed Forces","53 206 27 32"
83,female,Małgorzata,Wojciechowska,MalgorzataWojciechowska@superrito.com,65112403903,11/24/1965,"X-ray technician","72 420 12 31"
84,male,Klimek,Zielinski,KlimekZielinski@armyspy.com,81012890698,1/28/1981,"Real estate closer","53 163 57 92"
85,female,Walentyna,Michalska,WalentynaMichalska@jourrapide.com,73072724466,7/27/1973,"Information architect librarian","66 567 53 40"
86,female,Zosia,Jaworska,ZosiaJaworska@rhyta.com,76032359223,3/23/1976,"Oral and maxillofacial surgeon","88 399 75 46"
87,female,Tekla,Czarnecka,TeklaCzarnecka@fleckens.hu,81122039727,12/20/1981,"Customs inspector","51 683 06 08"
88,male,Jozafat,Jasiński,JozafatJasinski@armyspy.com,89020748631,2/7/1989,"Architectural drafter","66 594 42 12"
89,male,Frydrych,Zawadzki,FrydrychZawadzki@dayrep.com,84022899170,2/28/1984,"Teaching assistant","72 732 69 63"
90,female,Malina,Kozłowska,MalinaKozlowska@einrot.com,82100329326,10/3/1982,"Military occupation","78 563 38 97"
91,female,Walentyna,Tomaszewska,WalentynaTomaszewska@dayrep.com,69053157466,5/31/1969,"Systems analyst","79 756 52 02"
92,male,Narcyz,Jasiński,NarcyzJasinski@superrito.com,96082110115,8/21/1996,"Management scientist","66 599 73 80"
93,female,Eligia,Sobczak,EligiaSobczak@cuvox.de,83070600026,7/6/1983,Mason,"79 973 80 20"
94,female,Zoja,Kaczmarek,ZojaKaczmarek@gustr.com,87012464109,1/24/1987,Econometrician,"69 453 07 18"
95,male,Jacenty,Czerwinski,JacentyCzerwinski@einrot.com,99090589032,9/5/1999,"Power plant distributor","69 481 96 91"
96,female,Jolanta,Kowalska,JolantaKowalska@fleckens.hu,95022607104,2/26/1995,Bodyguard,"53 951 23 22"
97,female,Beata,"Nowak ",BeataNowak@dayrep.com,90092624284,9/26/1990,"Scientific illustrator","67 754 07 34"
98,male,Dariusz,Tomaszewski,DariuszTomaszewski@einrot.com,62072753550,7/27/1962,"Control technician","53 700 03 83"
99,female,Dominika,Kowalczyk,DominikaKowalczyk@superrito.com,73012195323,1/21/1973,"Chemical engineering technician","67 255 06 76"
100,male,Stanisław,Michalski,StanislawMichalski@armyspy.com,89061537537,6/15/1989,"Magnetic resonance (MR) technologist","66 697 04 77"
101,female,Luiza,Zielinska,LuizaZielinska@cuvox.de,81122707664,12/27/1981,"Coatroom attendant","88 427 25 96"
102,female,Martyna,Kalinowska,MartynaKalinowska@armyspy.com,76120388645,12/3/1976,"Adult basic education teacher","69 706 08 64"
103,male,Klaudiusz,Kowalczyk,KlaudiuszKowalczyk@gustr.com,77111002656,11/10/1977,"News camera operator","60 448 92 88"
104,female,Stefcia,Nowakowska,StefciaNowakowska@dayrep.com,00281511064,8/15/2000,"Aerospace engineer","60 750 48 78"
105,female,Ludmiła,Borkowska,LudmilaBorkowska@fleckens.hu,83052033060,5/20/1983,"Bindery machine operator","51 994 55 67"
106,male,Tadzio,Sawicki,TadzioSawicki@superrito.com,79091733654,9/17/1979,"Environmental protection officer","51 643 05 44"
107,female,Izolda,Sobczak,IzoldaSobczak@superrito.com,93050925728,5/9/1993,"Labor training manager","51 574 21 10"
108,female,Adrianna,Kucharska,AdriannaKucharska@fleckens.hu,63101809064,10/18/1963,CPA,"88 972 22 93"
109,male,Gerwazy,Michalski,GerwazyMichalski@einrot.com,61081671392,8/16/1961,"Baggage porter","79 741 70 91"
110,female,Stefcia,Nowicka,StefciaNowicka@teleworm.us,76010220402,1/2/1976,"Software quality assurance analyst","60 676 86 09"
111,male,Lucjusz,Kucharski,LucjuszKucharski@gustr.com,92102585451,10/25/1992,"Gas and water service dispatcher","79 551 77 86"
112,female,Gabriela,Czarnecka,GabrielaCzarnecka@dayrep.com,64010654240,1/6/1964,"Time recorder","72 410 06 51"
113,female,Benedykta,Wieczorek,BenedyktaWieczorek@teleworm.us,86012643642,1/26/1986,"Budget officer","69 600 92 25"
114,female,Cecylia,Kowalczyk,CecyliaKowalczyk@einrot.com,62070978120,7/9/1962,"Diesel mechanic","60 232 61 05"
115,female,Jagoda,Olszewska,JagodaOlszewska@superrito.com,62052049989,5/20/1962,"Postsecondary vocational-technical education teacher","51 782 81 08"
116,female,Judyta,Jasińska,JudytaJasinska@fleckens.hu,94101400801,10/14/1994,"Construction inspector","53 425 06 51"
117,male,Jarogniew,Zając,JarogniewZajac@gustr.com,76081890517,8/18/1976,"School superintendent","79 393 38 36"
118,male,Maksymilian,Tomaszewski,MaksymilianTomaszewski@jourrapide.com,96010949954,1/9/1996,"Public relations specialist","53 556 75 58"
119,female,Elżbieta,Kucharska,ElzbietaKucharska@cuvox.de,88010557020,1/5/1988,"Construction mechanic","66 889 80 24"
120,female,Felicja,Jasińska,FelicjaJasinska@rhyta.com,71041470804,4/14/1971,"Personnel administrator","66 402 75 39"
121,female,Barbara,Majewska,BarbaraMajewska@teleworm.us,99031847704,3/18/1999,"General office clerk","69 196 42 44"
122,female,Salomea,Kowalska,SalomeaKowalska@rhyta.com,82012017128,1/20/1982,Photojournalist,"60 425 46 67"
123,female,Zdzisława,Sawicka,ZdzislawaSawicka@fleckens.hu,69032068646,3/20/1969,"Medical equipment preparer","72 653 64 60"
124,male,Dobrogost,Czarnecki,DobrogostCzarnecki@rhyta.com,97092974135,9/29/1997,Commissioner,"69 181 36 99"
125,female,Rościsława,Duda,RoscislawaDuda@teleworm.us,65121707603,12/17/1965,"Lathe and turning machine tool tender","53 164 74 20"
126,male,Witołd,Jaworski,WitoldJaworski@einrot.com,66062852010,6/28/1966,"Aircraft systems assembler","67 214 23 74"
127,male,Bazyli,Czerwinski,BazyliCzerwinski@cuvox.de,83120736811,12/7/1983,"School bus driver","69 361 71 94"
128,male,Justyn,Kozłowski,JustynKozlowski@jourrapide.com,69060193772,6/1/1969,"Farm equipment mechanic","51 721 93 03"
129,male,Wawrzyniec,Chmielewski,WawrzyniecChmielewski@armyspy.com,96082009152,8/20/1996,"Benefits clerk","88 927 60 54"
130,female,Ewa,Czerwinska,EwaCzerwinska@jourrapide.com,67082234068,8/22/1967,"Military officer","79 515 33 13"
131,female,Celina,Nowakowska,CelinaNowakowska@superrito.com,90032512569,3/25/1990,"Development specialist","60 940 71 16"
132,male,Lechosław,Adamczyk,LechoslawAdamczyk@gustr.com,00302681455,10/26/2000,"Image designer","67 527 55 83"
133,female,Dorota,Chmielewska,DorotaChmielewska@jourrapide.com,95111653481,11/16/1995,"Scientific illustrator","88 261 42 84"
134,male,Felicjan,Symanski,FelicjanSymanski@gustr.com,98121207170,12/12/1998,"Personal and home care aide","79 273 78 29"
135,female,Michalina,Adamska,MichalinaAdamska@jourrapide.com,99071667960,7/16/1999,"Medical laboratory technologist","66 774 28 92"
136,female,Józefa,Kucharska,JozefaKucharska@gustr.com,76070815945,7/8/1976,"Personal care aide","67 125 67 10"
137,female,Zofia,Piotrowska,ZofiaPiotrowska@fleckens.hu,72063053121,6/30/1972,"Electronic typesetting machine operator","51 746 95 61"
138,male,Krzysztof,Majewski,KrzysztofMajewski@fleckens.hu,59021272853,2/12/1959,"Occupational social worker","67 535 66 48"
139,female,Władysława,Wojciechowska,WladyslawaWojciechowska@teleworm.us,98052804864,5/28/1998,"Mail handler","88 124 29 85"
140,female,Jolanta,Kalinowska,JolantaKalinowska@teleworm.us,60061917842,6/19/1960,"Employment, recruitment, and placement specialist","79 510 83 11"
141,female,Sylwia,Jabłońska,SylwiaJablonska@einrot.com,86010199121,1/1/1986,"Job service specialist","66 122 77 95"
142,female,Alicja,Sobczak,AlicjaSobczak@gustr.com,81030972565,3/9/1981,"Parole officer","67 287 85 39"
143,female,Hanna,Nowicka,HannaNowicka@jourrapide.com,78112656486,11/26/1978,"Poultry cutter","88 361 77 53"
144,female,Ludwika,Tomaszewska,LudwikaTomaszewska@rhyta.com,63040106828,4/1/1963,"Information and record clerk","69 229 86 63"
145,female,Malwina,Kozłowska,MalwinaKozlowska@teleworm.us,67102045100,10/20/1967,Cleaner,"51 667 73 62"
146,male,Benedykt,Jabłoński,BenedyktJablonski@dayrep.com,78103029059,10/30/1978,"Heavy-duty truck mechanic","78 654 37 69"
147,male,Teofil,"Dąbrowski ",TeofilDabrowski@dayrep.com,64091555234,9/15/1964,Tilesetter,"79 942 70 31"
148,female,Wiola,Adamska,WiolaAdamska@rhyta.com,80111231443,11/12/1980,Gynecologist,"69 127 21 00"
149,male,Rafał,Wojciechowski,RafalWojciechowski@teleworm.us,00272174874,7/21/2000,"Multiple machine tool setter","72 550 35 18"
150,female,Lidia,Symanska,LidiaSymanska@cuvox.de,61041426929,4/14/1961,"Professional sports scout","66 661 78 18"
151,female,Zuzanna,Ostrowska,ZuzannaOstrowska@einrot.com,62030747344,3/7/1962,Sewer,"72 428 06 57"
152,male,Janek,Tomaszewski,JanekTomaszewski@fleckens.hu,87010633976,1/6/1987,"Process metallurgical engineer","60 463 03 07"
153,female,Danuta,Jabłońska,DanutaJablonska@cuvox.de,81040321766,4/3/1981,"Chiropractic doctor","78 685 67 24"
154,female,Justyna,Wojciechowska,JustynaWojciechowska@dayrep.com,96072251824,7/22/1996,"Fishing vessel operator","72 639 34 29"
155,female,Róża,Woźniak,RozaWozniak@rhyta.com,64092125588,9/21/1964,"Film and video editor","79 909 16 49"
156,female,Lesława,Kaczmarek,LeslawaKaczmarek@einrot.com,71121475640,12/14/1971,"Telecommunications specialist","53 349 97 91"
157,male,Albin,Jaworski,AlbinJaworski@fleckens.hu,82042751515,4/27/1982,Writer,"67 967 22 82"
158,male,Henryk,Jasiński,HenrykJasinski@fleckens.hu,78100581576,10/5/1978,"Real estate agent","66 133 28 06"
159,male,Zygfryd,Dudek,ZygfrydDudek@rhyta.com,95121217370,12/12/1995,"Milling and planing machine operator","60 209 54 65"
160,male,Stanisław,"Dąbrowski ",StanislawDabrowski@teleworm.us,76112781896,11/27/1976,"Marine surveyor","67 962 20 70"
161,female,Serafina,Wiśniewska,SerafinaWisniewska@einrot.com,81010409342,1/4/1981,Army,"53 895 65 28"
162,female,Tekla,Rutkowska,TeklaRutkowska@rhyta.com,94081996408,8/19/1994,"ASE teacher","51 638 30 89"
163,female,Eligia,Tomaszewska,EligiaTomaszewska@jourrapide.com,62062980047,6/29/1962,"Religious activities and education director","60 659 99 21"
164,female,Jolanta,Dudek,JolantaDudek@cuvox.de,62031842222,3/18/1962,"Ticket taker","69 804 09 96"
165,male,Przemek,Wieczorek,PrzemekWieczorek@superrito.com,59040997030,4/9/1959,"911 operator","67 436 84 28"
166,male,Bolek,Sobczak,BolekSobczak@einrot.com,70031769179,3/17/1970,"Support clerk","72 275 66 19"
167,male,Bożydar,Maciejewski,BozydarMaciejewski@cuvox.de,95102866953,10/28/1995,"Plan examiner","79 738 10 98"
168,female,Czesława,Symanska,CzeslawaSymanska@teleworm.us,96071910425,7/19/1996,Biophysicist,"72 984 64 27"
169,female,Ksenia,Maciejewska,KseniaMaciejewska@dayrep.com,93110194066,11/1/1993,"Wealth manager","67 422 52 27"
170,male,Ferdynand,Kwiatkowski,FerdynandKwiatkowski@rhyta.com,71080457794,8/4/1971,"Cementing and gluing machine operator","53 323 47 03"
171,female,Danuta,Majewska,DanutaMajewska@cuvox.de,86060502281,6/5/1986,"Painting and coating worker","67 913 62 03"
172,female,Justyna,Kozłowska,JustynaKozlowska@einrot.com,86081488186,8/14/1986,"Social science research assistant","69 199 44 18"
173,female,Gabriela,Kowalczyk,GabrielaKowalczyk@dayrep.com,80091479909,9/14/1980,"Cooling and freezing equipment tender","69 101 76 41"
174,male,Nikodem,Gorski,NikodemGorski@superrito.com,81092636058,9/26/1981,"Network architect","66 561 56 85"
175,female,Lucyna,Ostrowska,LucynaOstrowska@dayrep.com,81122082688,12/20/1981,"Yoga instructor","60 225 65 93"
176,male,Ziemowit,Szczepański,ZiemowitSzczepanski@rhyta.com,68121055998,12/10/1968,"High school teacher","88 599 39 73"
177,male,Jozafat,Zawadzki,JozafatZawadzki@rhyta.com,96030901932,3/9/1996,"Order clerk","88 963 96 85"
178,female,Blanka,Olszewska,BlankaOlszewska@fleckens.hu,85080700844,8/7/1985,"Oral pathologist","79 327 89 84"
179,male,Dariusz,Wysocki,DariuszWysocki@teleworm.us,60102410877,10/24/1960,"Cost estimator","72 613 12 12"
180,female,Mirosława,Nowicka,MiroslawaNowicka@cuvox.de,78120804745,12/8/1978,"Photographic equipment repairer","67 232 91 06"
181,female,Albina,Kozłowska,AlbinaKozlowska@cuvox.de,90081946603,8/19/1990,"Electrical line worker","53 861 72 34"
182,male,Jerzy,Kwiatkowski,JerzyKwiatkowski@dayrep.com,83120289074,12/2/1983,"Map editor","78 269 13 58"
183,male,Bronisław,Sokołowski,BronislawSokolowski@cuvox.de,83042322493,4/23/1983,"Groundskeeping worker","69 357 79 85"
184,male,Jaromir,Kucharski,JaromirKucharski@dayrep.com,65102777359,10/27/1965,"Pamphlet binding worker","78 736 32 71"
185,female,Zoja,Majewska,ZojaMajewska@fleckens.hu,87061410625,6/14/1987,Jeweler,"78 371 25 83"
186,female,Patrycja,Duda,PatrycjaDuda@armyspy.com,78053092321,5/30/1978,"Hoist and winch operator","72 938 17 47"
187,female,Michalina,Pawłowska,MichalinaPawlowska@fleckens.hu,98051601127,5/16/1998,"Electrical and electronics installer","51 763 39 12"
188,female,Alicja,"Dąbrowski ",AlicjaDabrowski@cuvox.de,96112975264,11/29/1996,Cosmetologist,"66 971 92 62"
189,male,Dorota,Adamski,DorotaAdamski@teleworm.us,76110832815,11/8/1976,"Head hunter","51 801 58 23"
190,female,Władysława,Symanska,WladyslawaSymanska@jourrapide.com,81111800268,11/18/1981,"Bus mechanic","88 955 34 64"
191,female,Felicyta,Duda,FelicytaDuda@armyspy.com,68071381323,7/13/1968,"Insurance sales agent","72 516 58 78"
192,male,Lucjan,Nowicki,LucjanNowicki@cuvox.de,94011414554,1/14/1994,"Inhalation therapist","51 730 84 08"
193,female,Marzena,Zawadzka,MarzenaZawadzka@superrito.com,59122890585,12/28/1959,"Personal trainer","88 728 97 33"
194,male,Hendrych,Pawłowski,HendrychPawlowski@teleworm.us,82071159751,7/11/1982,"Administrative technician","88 705 68 92"
195,female,Marzena,Jabłońska,MarzenaJablonska@dayrep.com,89111717120,11/17/1989,"Telephone service representative","67 645 82 08"
196,female,Radosława,Grabowska,RadoslawaGrabowska@dayrep.com,94120656762,12/6/1994,"Power dispatcher","67 356 48 58"
197,female,Lucyna,Borkowska,LucynaBorkowska@fleckens.hu,90032797524,3/27/1990,Airman,"88 485 49 56"
198,male,Piotr,Adamczyk,PiotrAdamczyk@rhyta.com,75071809818,7/18/1975,"Termite control technician","72 656 38 82"
199,female,Bronisława,Kwiatkowska,BronislawaKwiatkowska@gustr.com,82112095963,11/20/1982,"Social scientist","51 894 39 05"
200,male,Bonifacy,Zielinski,BonifacyZielinski@armyspy.com,69012208671,1/22/1969,"Community support worker","78 877 56 69"
201,male,Ryszard,Nowakowski,RyszardNowakowski@fleckens.hu,83061898634,6/18/1983,"Physical therapist assistant","60 808 69 24"
202,female,Serafina,Sawicka,SerafinaSawicka@dayrep.com,84032888665,3/28/1984,"Child care worker","53 781 77 93"
203,male,Maurycy,Borkowski,MaurycyBorkowski@teleworm.us,85050626792,5/6/1985,Technologist,"69 580 25 48"
204,male,Przemek,Walczak,PrzemekWalczak@rhyta.com,77020713856,2/7/1977,"Instructional designer","72 298 44 11"
205,female,Ania,Symanska,AniaSymanska@einrot.com,89060835544,6/8/1989,Hairstylist,"60 179 24 93"
206,female,Lechosława,Wiśniewska,LechoslawaWisniewska@gustr.com,93032307469,3/23/1993,"Electronic reporter","79 326 38 94"
207,female,Ewa,Nowicka,EwaNowicka@dayrep.com,87102099466,10/20/1987,"Portfolio manager","69 440 59 48"
208,male,Franciszek,Adamski,FranciszekAdamski@dayrep.com,96072192134,7/21/1996,"Securities analyst","53 160 61 41"
209,female,Seweryna,Jasińska,SewerynaJasinska@dayrep.com,83071653245,7/16/1983,"Budget analyst","72 231 91 53"
210,female,Felicja,Kowalska,FelicjaKowalska@dayrep.com,69060741425,6/7/1969,"Nurse informaticist","67 745 55 17"
211,male,Tymon,Nowicki,TymonNowicki@fleckens.hu,95040702094,4/7/1995,Farmer,"67 893 96 24"
212,female,Iwona,Symanska,IwonaSymanska@armyspy.com,82011069805,1/10/1982,"Home health aide","51 916 13 95"
213,female,Blanka,Wieczorek,BlankaWieczorek@superrito.com,79071478405,7/14/1979,"Video camera operator","67 846 55 49"
214,female,Augustyna,Król,AugustynaKrol@gustr.com,81091302109,9/13/1981,"Shipping, receiving, and traffic clerk","72 762 81 05"
215,male,Kacper,Majewski,KacperMajewski@armyspy.com,81061469436,6/14/1981,"Research psychologist","60 619 04 47"
216,female,Bogumiła,Woźniak,BogumilaWozniak@einrot.com,70011013726,1/10/1970,"School superintendent","51 646 92 36"
217,male,Franciszek,"Nowak ",FranciszekNowak@cuvox.de,78021691574,2/16/1978,"Camp director","53 148 19 58"
218,female,Sławomira,Tomaszewska,SlawomiraTomaszewska@gustr.com,63082370089,8/23/1963,"Closed captioner","88 361 92 07"
